«·œÊ«¡,«· —ﬂÌ»
Divoltan 160/10,amlodipine 10mg+valsartan 160mg / tab
Divoltan 160/5,amlodipine 5mg+valsartan 160mg / tab
Divoltan 160/5,amlodipine 5mg+valsartan 160mg / tab
Divoltan 160/5,amlodipine 5mg+valsartan 160mg / tab
Divoltan 320/10,amlodipine 10mg+valsartan 320mg / tab
Divoltan 320/10,amlodipine 10mg+valsartan 320mg / tab
Divoltan 320/5,amlodipine 5mg+valsartan 320mg / tab
Divoltan 320/5,amlodipine 5mg+valsartan 320mg / tab
Divoltan 80/5,amlodipine 5mg+valsartan 80mg / tab
Divoltan 80/5,amlodipine 5mg+valsartan 80mg / tab
Dopamin 200,amlodipine 200mg / amp
Dopamin 50,amlodipine 50mg / amp
Doxyl 100,doxycycline 100mg / cap
E400,vitaminE 400i.u. / soft-cap
E600,vitaminE 600i.u. / soft-cap
Enoxan 20,enoxaparin 20mg / preFilled-syringe
Enoxan 40,enoxaparin 40mg / preFilled-syringe
Enoxan 60,enoxaparin 60mg / preFilled-syringe
Enoxan 80,enoxaparin 80mg / preFilled-syringe
EskonadeNew,chlorpheniramine 8mg+pseudoEphedrine 120mg / SR-cap
EskonadeNew,chlorpheniramine 2mg+pseudoEphedrine 30mg / 5ml
Eucarbon,extr.rhei 25mg+carboVegetab 180mg+fol.senna 105mg / tab
Eucarbon,extr.rhei 25mg+carboVegetab 180mg+fol.senna 105mg / tab
Eucarbon,extr.rhei 25mg+carboVegetab 180mg+fol.senna 105mg / tab
Extra 100,sildenafil 100mg / tab
Extra 50,sildenafil 50mg / tab
Facimir 250,famciclovir 250mg / c-tab
Facimir 250,famciclovir 250mg / c-tab
FerfolicZ,ferrousSulfate 150mg+folicAcid 0.5mg+zincSulfate 62mg / SR-cap
Flagynid 125,metronidazole 125mg / 5ml
Flagynid 250,metronidazole 250mg / c-tab
Flagynid 500,metronidazole 500mg / c-tab
Flagynid 500,metronidazole 0.5%
"Fortacef 1,000",ceftazidime 1000mg / vial
Fortacef 500,ceftazidime 500mg / vial
GarlicOil 25,garlicOil 25mg / soft-cap
Gatifloxacin,gatifloxacin 200mg / vial
Gentocil 20,gentamicin 20mg / amp
Gentocil 20,gentamicin 20mg / amp
Gentocil 20,gentamicin 20mg / vial
Gentocil 20,gentamicin 20mg / vial
Gentocil 40,gentamicin 40mg / amp
Gentocil 40,gentamicin 40mg / vial
Gentocil 40,gentamicin 40mg / vial
Gentocil 80,gentamicin 80mg / amp
Gentocil 80,gentamicin 80mg / amp
Gentocil 80,gentamicin 80mg / vial
Gentocil 80,gentamicin 80mg / vial
Herplexidine,idoxuridine 0.1%
Hyprolos 0.2%,
Hyprolos 0.3%,
Ibandronate 150,ibandronicAcid 150mg / c-tab
Ibufen 100,ibuprofen 100mg / 5ml
Ibufen 300,ibuprofen 300mg / c-tab
Ibufen 400,ibuprofen 400mg / c-tab
Ibufen 400,ibuprofen 400mg / c-tab
Ibufen 600,ibuprofen 600mg / c-tab
IronSafe,ferrousHydroxidePolyMaltose 100mg / amp
IronSafe 100,ferrous 100mg+folicAcid 0.35mg / chew-tab
IronSafe 50,ferrous 50mg+folicAcid 0.35mg / 5ml
Kaotin,kaolin 986mg+pectin 22mg / 5ml
Ketogel 2.5%,ketoprofen 2.5%
Ketolamin 0.5%,ketorolac 0.5%
Lasixine 20,furosemide 20mg / amp
Lasixine 20,furosemide 20mg / amp
Lasixine 40,furosemide 40mg / tab
Lidocaine 1%,lidocaine 1%
Lidocaine 1%,lidocaine 1%
Lidocaine 1%,lidocaine 1%
Lidocaine 1%,lidocaine 1%
Lidocaine 2%,lidocaine 2%
Lidocaine 2%,lidocaine 2%
Lincocile 250,lincomycin 250mg / 5ml
Lincocile 300,lincomycin 300mg / amp
Lincocile 300,lincomycin 300mg / vial
Lincocile 500,lincomycin 500mg / cap
Lincocile 600,lincomycin 600mg / amp
Lincocile 600,lincomycin 600mg / vial
Metformin 1000,metformin 1000mg / c-tab
Metformin 500,metformin 500mg / c-tab
Metformin 850,metformin 850mg / c-tab
MetforminSR 750,metformin 750mg / SR-cap
MetforminXR 1000,metformin 1000mg / c-tab
MetforminXR 500,metformin 500mg / c-tab
Migradon,caffeine 46mg+paraCetamol 150mg+propyphenazone 250mg / tab
Migradon,caffeine 46mg+paraCetamol 150mg+propyphenazone 250mg / tab
Neodron,dexamethasone 1mg+neomycin 3.5mg / ml
"NewtribionForte 1,000",vitaminB1 100mg+vitaminB6 100mg+vitaminB12 1mg / c-tab
NewVitabionFort,vitaminB1 100mg+vitaminB6 100mg+vitaminB12 0.2mg / c-tab
Nisidol 100,nimesulide 100mg / tab
Nisidol 100,nimesulide 100mg / tab
Nisidol 100,nimesulide 100mg / tab
Nisidol 50,nimesulide 50mg / 5ml
Nisidol 50,nimesulide 50mg / 5ml
Nystalocal,dexamethasone 0.1mg+hexidine 1.15mg+nystatin 100000i.u. / 100gr
Nystamin,nystatin 500000i.u. / tab
Ocuprofen 0.03%,flurbiprofen 0.3%
Ofloxacin 0.03%,lomefloxacin 0.3%
"Ogmentinine 1,000",amoxicillin 875mg+clavulanicAcid 125mg / c-tab
"Ogmentinine 1,000",amoxicillin 875mg+clavulanicAcid 125mg / c-tab
"Ogmentinine 1,200",amoxicillin 1000mg+clavulanicAcid 200mg / vial
Ogmentinine 156,amoxicillin 125mg+clavulanicAcid 31mg / 5ml
Ogmentinine 156,amoxicillin 125mg+clavulanicAcid 31mg / 5ml
Ogmentinine 228,amoxicillin 200mg+clavulanicAcid 28.5mg / 5ml
Ogmentinine 228,amoxicillin 200mg+clavulanicAcid 28.5mg / 5ml
Ogmentinine 312,amoxicillin 250mg+clavulanicAcid 62mg / 5ml
Ogmentinine 312,amoxicillin 250mg+clavulanicAcid 62mg / 5ml
Ogmentinine 375,amoxicillin 300mg+clavulanicAcid 75mg / c-tab
Ogmentinine 375,amoxicillin 300mg+clavulanicAcid 75mg / c-tab
Ogmentinine 375,amoxicillin 300mg+clavulanicAcid 75mg / c-tab
Ogmentinine 457,amoxicillin 400mg+clavulanicAcid 57mg / 5ml
Ogmentinine 457,amoxicillin 400mg+clavulanicAcid 57mg / 5ml
Ogmentinine 600,amoxicillin 500mg+clavulanicAcid 100mg / vial
Ogmentinine 625,amoxicillin 500mg+clavulanicAcid 125mg / c-tab
Ogmentinine 625,amoxicillin 500mg+clavulanicAcid 125mg / c-tab
OgmentinineES 600,amoxicillin 600mg+clavulanicAcid 42.9mg / 5ml
Ondansetron 4,ondansetron 4mg / amp
Ondansetron 4,ondansetron 4mg / amp
Oraluxe 100,cefpodoxime 100mg / c-tab
Oraluxe 100,cefpodoxime 100mg / 5ml
Oraluxe 200,cefpodoxime 200mg / c-tab
Oraluxe 50,cefpodoxime 50mg / 5ml
Oraluxe 50,cefpodoxime 50mg / 5ml
OsteoBrex 200,
Ovelox 5,levoFloxacin 5mg / ml
Parozon,chlorzoxazone 250mg+paraCetamol 300mg / cap
Penta 20,pantoprazole 20mg / c-tab
Penta 40,pantoprazole 40mg / c-tab
"Pentrexyl 1,000",ampicillin 1000mg / vial
"Pentrexyl 1,000",ampicillin 1000mg / vial
Pentrexyl 500,ampicillin 500mg / vial
Pentrexyl 500,ampicillin 500mg / vial
Prasilom 10,
Prasilom 10,
Prasilom 5,
Prasilom 5,
PredAlpha 5,prednisolone 5mg / tab
PredAlphaForte 1%,prednisolone 1%
PredAlphaMild 0.12%,prednisolone 0.12%
Procard 10,propranolol 10mg / c-tab
Procard 40,propranolol 40mg / c-tab
Procard 80,propranolol 80mg / c-tab
"Prostaf 1,000",cloxacillin 1000mg / vial
"Prostaf 1,000",cloxacillin 1000mg / vial
Prostride 1,finasteride 1mg / c-tab
Prostride 5,finasteride 5mg / c-tab
Proxy 1%,paraCetamol 1%
Proxy 100,paraCetamol 100mg / ml
Proxy 120,paraCetamol 120mg / 5ml
Proxy 120,paraCetamol 120mg / 5ml
Proxy 160,paraCetamol 160mg / 5ml
Proxy 200,paraCetamol 200mg / 5ml
Proxy 500,paraCetamol 500mg / tab
Proxy 500,paraCetamol 500mg / tab
ProxyActiFast,paraCetamol 500mg / c-tab
ProxyExtra,caffeine 65mg+paraCetamol 500mg / tab
ProxyNight,
ProxySinus,
ProxySinus,paracetamol 500mg+pseudoEphedrine 30mg / tab
ProxyUltra,codeine 8mg+paraCetamol 500mg / c-tab
Ranitidine 150,ranitidine 150mg / c-tab
Ranitidine 300,ranitidine 300mg / c-tab
Ranitidine 50,ranitidine 25mg / ml
Ranitidine 50,ranitidine 25mg / ml
"Rociflex 1,000",ceftriaxone 1000mg / vial
"Rociflex 2,000",ceftriaxone 2000mg / vial
Rociflex 250,ceftriaxone 250mg / vial
Rociflex 500,ceftriaxone 500mg / vial
"RociflexPlus 1,500",ceftriaxone 1000mg+sulbactam 500mg / vial
RociflexPlus 375,ceftriaxone 250mg+sulbactam 125mg / vial
RociflexPlus 750,ceftriaxone 500mg+sulbactam 250mg / vial
Rosuvatin 10,orosuvastatin 10mg / c-tab
Rosuvatin 10,orosuvastatin 10mg / c-tab
Rosuvatin 20,orosuvastatin 20mg / c-tab
Rosuvatin 20,orosuvastatin 20mg / c-tab
Rosuvatin 40,orosuvastatin 40mg / c-tab
Rosuvatin 40,orosuvastatin 40mg / c-tab
Rosuvatin 5,orosuvastatin 5mg / c-tab
Rosuvatin 5,orosuvastatin 5mg / c-tab
Sinuvin 0.25,oxymetazoline 0.25mg / ml
Sinuvin 0.25,oxymetazoline 0.25mg / ml
Sinuvin 0.5,oxymetazoline 0.5mg / ml
Sinuvin 0.5,oxymetazoline 0.5mg / ml
Sparexine 200,sparfloxacin 200mg / c-tab
"Sulba 1,500",ampicillin 1000mg+sulbactam 500mg / vial
Sulba 750,ampicillin 500mg+sulbactam 250mg / vial
Sulfadar,pyrimethamine 25mg+sulfadoxine 500mg / tab
Suxatamine 100,
Syalpha 10,tadalafil 20mg / c-tab
Syalpha 20,tadalafil 20mg / c-tab
Tagamine 200,cimetidine 200mg / amp
Tobrapha 0.3%,tobramycin 0.3%
TribionForte,vitaminB1 100mg+vitaminB6 100mg+vitaminB12 1mg / amp
TribionForte,vitaminB1 100mg+vitaminB6 100mg+vitaminB12 1mg / amp
TribionForte,vitaminB1 100mg+vitaminB6 100mg+vitaminB12 1mg / vial
TribionForte,vitaminB1 100mg+vitaminB6 100mg+vitaminB12 1mg / vial
Trinitrate 25,glycerylTrinitrate 25mg / amp
Ultrapen 250,amoxicillin 125mg+flucloxacillin 125mg / 5ml
Ultrapen 500,amoxicillin 250mg+flucloxacillin 250mg / cap
Varclin 0.5,varenicline 0.5mg / tab
Varclin 1,varenicline 1mg / tab
VeloCefradine 125,cephradine 125mg / 5ml
VeloCefradine 125,cephradine 125mg / 5ml
VeloCefradine 250,cephradine 125mg / cap
VeloCefradine 250,cephradine 250mg / 5ml
VeloCefradine 250,cephradine 250mg / 5ml
VeloCefradine 500,cephradine 500mg / cap
Velosef 125,cephradine 125mg / 5ml
Velosef 250,cephradine 250mg / cap
Velosef 250,cephradine 250mg / 5ml
Velosef 500,cephradine 500mg / cap
Vifloxacine,moxifloxacin 0.5%
Viraflu 60,oseltamivir 60mg / 5ml
Viraflu 75,oseltamivir 75mg / cap
VitabionFort,multivitamins / 5ml
Viteax,vitaminA 30000i.u.+vitaminE 70i.u. / chew-tab
VitK 1,vitaminK 1mg / amp
VitK 10,vitaminK 10mg / amp
Voltagesic 1.16%,diclofenacDiEthylAmmonium 1.16%
Voltagesic 25,diclofenacSodium 25mg / c-tab
Voltagesic 50,diclofenacSodium 50mg / c-tab
Voltagesic 75,diclofenacSodium 75mg / amp
Voltagesic 75,diclofenacSodium 75mg / amp
Voltagesic 75,diclofenacSodium 75mg / amp
Voltagesic 75,diclofenacSodium 75mg / vial
Voltagesic 75,diclofenacSodium 75mg / vial
W.F.I.,W.F.I.
W.F.I.,W.F.I.
Zedex 20,famotidine 20mg / c-tab
Zedex 40,famotidine 40mg / c-tab
ActifanaCold,pseudoEphedrine 60mg+triprolidine 2.5mg / tab
ActifanaCold,pseudoEphedrine 60mg+triprolidine 2.5mg / tab
Active,ginkgobiloba 60mg+ginseng 100mg / cap
Active,ginkgobiloba 60mg+ginseng 100mg / cap
Active,ginkgobiloba 60mg+ginseng 100mg / cap
Active,ginkgobiloba 60mg+ginseng 100mg / cap
AntibrulAD,codLiverOil 11.4%+zincOxide 38%
Benzatol 400,albendazole 400mg / tab
Benzatol 400,albendazole 400mg / tab
Candrina,aspartame 18mg / efferv-tab
Carvedilol 12.5,carvedilol 12.5mg / c-tab
Carvedilol 12.5,carvedilol 12.5mg / c-tab
Carvedilol 25,carvedilol 25mg / c-tab
Carvedilol 25,carvedilol 25mg / c-tab
Carvedilol 3.125,carvedilol 3.125mg / c-tab
Carvedilol 3.125,carvedilol 3.125mg / c-tab
Carvedilol 6.25,carvedilol 6.25mg / c-tab
Carvedilol 6.25,carvedilol 6.25mg / c-tab
Cetamol 1000,paraCetamol 1000mg / tab
Cetamol 125,paraCetamol 125mg / supp
Cetamol 250,paraCetamol 250mg / supp
Cetamol 60,paraCetamol 60mg / supp
Claratadin,loratadine 10mg / tab
Claratadin,loratadine 10mg / tab
Crotamiton,crotamiton 10%
CrotamitonPlus,crotamiton 10%+hydrocortisone 0.25%
CrotamitonPlus,crotamiton 10%+hydrocortisone 0.25%
Damizol,diloxanide 250mg+metronidazole 200mg / tab
Dexamethasone 0.5,dexamethasone 0.5mg / tab
Dexamethasone 0.5,dexamethasone 0.5mg / tab
Dexamethasone 1.5,dexamethasone 1.5mg / tab
Dimenhydrinate,dimenhydrinate 50mg / tab
Dimenhydrinate,dimenhydrinate 50mg / tab
DraminR,dimenhydrinate 100mg+pyroxidine 20mg / tab
DraminR,dimenhydrinate 100mg+pyroxidine 20mg / tab
EmessaCard 10/160,amlodipine 10mg+valsartan 160mg / c-tab
EmessaCard 10/160,amlodipine 10mg+valsartan 160mg / c-tab
EmessaCard 10/320,amlodipine 10mg+valsartan 320mg / c-tab
EmessaCard 10/320,amlodipine 10mg+valsartan 320mg / c-tab
EmessaCard 5/160,amlodipine 5mg+valsartan 160mg / c-tab
EmessaCard 5/160,amlodipine 5mg+valsartan 160mg / c-tab
EmessaCard 5/320,amlodipine 5mg+valsartan 320mg / c-tab
EmessaCard 5/320,amlodipine 5mg+valsartan 320mg / c-tab
EmessaCard 5/80,amlodipine 5mg+valsartan 80mg / c-tab
EmessaCard 5/80,amlodipine 5mg+valsartan 80mg / c-tab
EmessaCream,allantoin 0.3%+talc 5%+zincOxide 5%
EmessaCream,allantoin 0.3%+talc 5%+zincOxide 5%
EmessaPowder,camphor+menthol+salicylicAcid+talc+zincOxide / gr
Finasten 0.1%,dimethindene 0.1%
Flamyzin,silversulfadiazine 1%
Flamyzin,silversulfadiazine 1%
Flamyzin,silversulfadiazine 1%
Flamyzin,silversulfadiazine 1%
Flamyzin,silversulfadiazine 1%
Flamyzin,silversulfadiazine 1%
Flexaren 10,cyclobenzaprine 10mg / c-tab
Flexaren 5,cyclobenzaprine 5mg / c-tab
Gentamycin,gentamicin 0.3%
Gentamycin,gentamicin 0.3%
Gentamycin,gentamicin 0.3%
Gentamycin,gentamicin 0.3%
GinkgoBiloba,ginkgobiloba 60mg / tab
Ginkoton,
Glucon,condrutinSulfate 400mg+glucoseAmine 500mg / c-t
GlycerinAd,glycerol 2166mg / supp
GlycerinAd,glycerol 2166mg / supp
GlycerinAd,glycerol 2166mg / supp
GlycerinCh,glycerol 1300mg / supp
GlycerinCh,glycerol 1300mg / supp
GlycerinCh,glycerol 1300mg / supp
GlycerinFort,glycerol 3000mg / supp
Gripax,paraCetamol 500mg+pseudoEphedrine 30mg+triprolidine 1.25mg / tab
Gripax,paraCetamol 500mg+pseudoEphedrine 30mg+triprolidine 1.25mg / tab
Gripax,paraCetamol 500mg+pseudoEphedrine 30mg+triprolidine 1.25mg / tab
Ichthyol,icthammol 10%
Imilin,lidocaine 2.5%+prilocaine 2.5%
Imilin,lidocaine 2.5%+prilocaine 2.5%
Isomak 10,isosorbideMononitrate 10mg / c-tab
Isomak 20,isosorbideMononitrate 20mg / c-tab
IsomakSR 25,isosorbideMononitrate 25mg / SR-cap
IsomakSR 50,isosorbideMononitrate 50mg / SR-cap
Lansocid 15,lansoprazole 15mg / cap
Lansocid 15,lansoprazole 15mg / cap
Lansocid 15,lansoprazole 15mg / cap
Lansocid 30,lansoprazole 30mg / cap
Lansocid 30,lansoprazole 30mg / cap
Lansocid 30,lansoprazole 30mg / cap
MaxoMig 10,
MaxoMig 5,
MiniLax,sodiumCitrate 450mg+sodiumLaurylsulfonAcetate 45mg+sorbitolsolution 4465mg / tube
Myconazol,miconazole 2%
Myconazol 100,miconazole 100mg / ovule
Myconazol 400,miconazole 400mg / ovule
Myconazol 400,miconazole 400mg / ovule
MyconazolPlus,miconazole 2%+hydrocortisone 1%
MyconazolPlus,miconazole 2%+hydrocortisone 1%
Neocin,lidocaine 40mg+neomycin 5mg+polymyxin 10000i.u. / gr
NeocinPlus,lidocaine 40mg+neomycin 5mg+polymyxin 10000i.u.+ -------- / gr
NeoUltrason,dexamethasone 0.1%+neomycin 0.5%
NoroGab 100,gabapentin 100mg / cap
NoroGab 300,gabapentin 300mg / cap
NoroGab 400,gabapentin 400mg / cap
Proctocaine,dibucaine 0.5%+hydrocortisone 0.5%
Ramicard 1.25,ramipril 1.25mg / cap
Ramicard 10,ramipril 10mg / cap
Ramicard 2.5,ramipril 2.5mg / cap
Ramicard 5,ramipril 5mg / cap
RelaxM 2.5%,menthol 2.5%
Respirdon 2,respiredone 2mg / c-tab
Respirdon 4,respiredone 4mg / c-tab
Rictamole,guaifenesin 66.6mg+oxomemazine 3.3mg+paraCetamol 66.6mg+sodiumBenzoate 6.66mg / supp
Septadine,polyvinylpyrolidoneIodine ( povidone ) 250mg / ovule
Septadine,polyvinylpyrolidoneIodine ( povidone ) 250mg / ovule
Silopram 10,citalopram 10mg / c-tab
Silopram 20,citalopram 20mg / c-tab
Silopram 40,citalopram 40mg / c-tab
Sotalol 120,sotalol 120mg / tab
Sotalol 160,sotalol 160mg / tab
Sotalol 80,sotalol 80mg / tab
Spiralac 100,spironolactone 100mg / tab
Spiralac 25,spironolactone 25mg / tab
Spiralac 50,spironolactone 50mg / tab
Supercaine,dibucaine 1%
Supercaine,dibucaine 1%
Tinigyn,tinidazole 500mg / tab
Tinigyn,tinidazole 500mg / tab
TyleCodon 2.5/325,oxycodone 2.5mg+paraCetamol 325mg / cap
TyleCodon 5/325,oxycodone 5mg+paraCetamol 325mg / cap
TyleCodon 7.5/500,oxycodone 7.5mg+paraCetamol 500mg / cap
Unitol,tioconazole 6.5%
Valzan 160,valsartan 160mg / cap
Valzan 320,valsartan 320mg / cap
Valzan 40,valsartan 40mg / cap
Valzan 80,valsartan 80mg / cap
Valzid 160/12.5,H.C.T.Z. ( HydroChloroThiaZide ) 12.5mg+valsartan 160mg / tab
Valzid 160/25,H.C.T.Z. ( HydroChloroThiaZide ) 25mg+valsartan 160mg / tab
Valzid 320/12.5,H.C.T.Z. ( HydroChloroThiaZide ) 12.5mg+valsartan 320mg / tab
Valzid 320/25,H.C.T.Z. ( HydroChloroThiaZide ) 25mg+valsartan 320mg / tab
Valzid 80/12.5,H.C.T.Z. ( HydroChloroThiaZide ) 12.5mg+valsartan 80mg / tab
Valzid 80/12.5,H.C.T.Z. ( HydroChloroThiaZide ) 12.5mg+valsartan 80mg / tab
Vitaclozine,doxylamine 10mg+vitaminB6 10mg / SR-tab
Yeasta,niacin 0.3mg+vitaminB1 0.1mg+vitaminB2 0.04mg / tab
Acecril,racecadotril 100mg / cap
"Acepime 1,000",cefepime 1000mg / vial
"Acepime 1,000",cefepime 1000mg+W.F.I.  / vial
"Acepime 2,000",cefepime 2000mg / vial
"Acepime 2,000",cefepime 2000mg+W.F.I. / vial
Acepime 500,cefepime 5000mg / vial
Acepime 500,cefepime 5000mg / vial
AgrePres 10,prasugrel 10mg / c-tab
AgrePres 10,prasugrel 10mg / c-tab
AgrePres 5,prasugrel 5mg / c-tab
AgrePres 5,prasugrel 5mg / c-tab
Amikacin 100,amikacin 100mg / amp
Amikacin 500,amikacin 500mg / amp
Amlodipine 5,amlodipine 5mg / tab
"Amolin 1,000",amoxicillin 1000mg / vial
"Amolin 1,000",amoxicillin 1000mg / vial
"Amolin 1,000",amoxicillin 1000mg+W.F.I. / vial
Amolin 250,amoxicillin 250mg / vial
Amolin 250,amoxicillin 250mg / vial
Amolin 250,amoxicillin 250mg / vial
Amolin 500,amoxicillin 500mg / vial
Amolin 500,amoxicillin 500mg / vial
Amolin 500,amoxicillin 500mg / vial
AntiVomine 12.5,meclizine 12.5mg / tab
AntiVomine 25,meclizine 25mg / tab
AntiVomine 50,meclizine 50mg / tab
Azaline 20%,azelaicAcid 20%
Baraka 450,nigellaSativaOil 450mg / soft-cap 
BComplex,biotin 0.5mg+dexpanthenol 6mg+niacin 40mg+vitaminB1 10mg+vitaminB2 4mg+vitaminB6 4mg+Ö / amp
BComplex,biotin 0.5mg+dexpanthenol 6mg+niacin 40mg+vitaminB1 10mg+vitaminB2 4mg+vitaminB6 4mg+Ö / amp
BComplex,dexpanthenol 3mg+niacin 20mg+vitaminB1 5mg+vitaminB2 2mg+vitaminB6 2mg / 5ml
Betapionate 0.05%,betamethasoneDipropionate 0.05%
Betapionate 0.05%,betamethasoneDipropionate 0.05%
Betapionate A,betamethasoneDipropionate 0.05%+salicylicAcid 3%
Biovine 60,ginkgobiloba 60mg / cap
Biprofenid 150,ketoprofen 150mg / tab
Bisolol 10,bisoprolol 10mg / c-tab
Bisolol 2.5,bisoprolol 2.5mg / c-tab
Bisolol 5,bisoprolol 5mg / c-tab
Broncholomyzol 15,ambroxol 15mg / tab
Broncholomyzol 30,ambroxol 30mg / tab
Bronchomix,camphor 11%+eitherOil 10%+peru balsam 6%
Calcibone,calciumCarbonate 500mg+cholecalciferol 400i.u. / loz
Calcibone,calciumGluconate 500mg+calciumLactobionate 890mg / 5ml
Caldron 30,risedronateSodium 30mg / c-tab
Caldron 5,risedronateSodium 5mg / c-tab
Cansartan 16,candesartan 16mg / tab
Cansartan 32,candesartan 32mg / tab
Cansartan 4,candesartan 4mg / tab
Cansartan 8,candesartan 8mg / tab
Castogel 1,castor oil 1000mg / soft-cap
Cefadroxil 250,cefadroxil 250mg / cap
Cefadroxil 250,cefadroxil 250mg / 5ml
Cefadroxil 500,cefadroxil 500mg / cap
"Cefaxone 1,000",ceftriaxone 1000mg / vial
"Cefaxone 1,000",ceftriaxone 1000mg / vial
"Cefaxone 1,000",ceftriaxone 1000mg / vial
"Cefaxone 1,000",ceftriaxone 1000mg+W.F.I. / vial
Cefaxone 250,ceftriaxone 250mg / vial
Cefaxone 250,ceftriaxone 250mg / vial
Cefaxone 250,ceftriaxone 250mg+W.F.I. / vial
Cefaxone 500,ceftriaxone 500mg / vial
Cefaxone 500,ceftriaxone 500mg / vial
Cefaxone 500,ceftriaxone 500mg+W.F.I. / vial
"Cefazole 1,000",cefazolin 1000mg / vial
"Cefazole 1,000",cefazolin 1000mg / vial
"Cefazole 1,000",cefazolin 1000mg / vial
Cefazole 500,cefazolin 500mg / vial
Cefazole 500,cefazolin 500mg / vial
Cefazole 500,cefazolin 500mg / vial
"Cefolin 1,000",cefotaxime 1000mg / vial
"Cefolin 1,000",cefotaxime 1000mg / vial
"Cefolin 1,000",cefotaxime 1000mg / vial
"Cefolin 2,000",cefotaxime 2000mg / vial
Cefolin 500,cefotaxime 500mg / vial
Cefolin 500,cefotaxime 500mg / vial
Cefolin 500,cefotaxime 500mg / vial
"Ceftacif 1,000",ceftazidime 1000mg / vial
"Ceftacif 1,000",ceftazidime 1000mg / vial
"Ceftacif 1,000",ceftazidime 1000mg / vial
"Ceftacif 2,000",ceftazidime 2000mg / vial
"Ceftacif 2,000",ceftazidime 2000mg / vial
Celfine 100,celecoxib 100mg / cap
Celfine 200,celecoxib 200mg / cap
CelfineFort 200,celecoxib 200mg / cap
Cinostal,nystatin 100000i.u.+triamCinolone 1mg / gr
Cinostal,nystatin 100000i.u.+triamCinolone 1mg / gr
Ciperf 200,ciprofloxacin 200mg / vial
"Clavacillin 1,200",amoxicillin 1000mg+clavulanicAcid 200mg / vial
"Clavacillin 1,200",amoxicillin 1000mg+clavulanicAcid 200mg / vial
Clavacillin 600,amoxicillin 500mg+clavulanicAcid 100mg / vial
Clavacillin 600,amoxicillin 500mg+clavulanicAcid 100mg / vial
Computy 1%,glycerine 1%
Cortapred 20,prednisolone 20mg / tab
Cortapred 5,prednisolone 5mg / tab
Covert 160/10,amlodipine 10mg+valsartan 160mg / c-tab
Covert 160/5,amlodipine 5mg+valsartan 160mg / c-tab
Covert 320/10,amlodipine 10mg+valsartan 320mg / c-tab
Covert 320/10,amlodipine 10mg+valsartan 320mg / c-tab
Dailyspirin 100,aspirin 100mg / tab
Dailyspirin 100,aspirin 100mg / tab
Depopred 40,methylPrednisolone 40mg / amp
Depopred 80,methylPrednisolone 80mg / amp
Dermatracin,bacitracin 500i.u.+neomycin 3.5mg+polymyxin 5000i.u. / gr
Dermatracin,bacitracin 500i.u.+neomycin 3.5mg+polymyxin 5000i.u. / gr
Desora 5,desloratadine 5mg / tab
Dexamytrex,dexamethasone 1mg+gentamicin 3mg / ml
Dexonalin 8,dexamethasone 8mg / amp
Dexonalin 8,dexamethasone 8mg / amp
Diclofenac 0.1,diclofenacSodium 0.1%
Diclofenac 100,diclofenacSodium 100mg / supp
Diclofenac 12.5,diclofenacSodium 12.5mg / supp
Diclofenac 12.5,diclofenacSodium 12.5mg / supp
Diclofenac 25,diclofenacSodium 25mg / supp
Diclofenac 25,diclofenacSodium 25mg / supp
Diclofenac 25,diclofenacSodium 25mg / tab
Diclofenac 50,diclofenacSodium 50mg / supp
Diclofenac 50,diclofenacSodium 50mg / tab
Diclofenac 75,diclofenacSodium 75mg / amp
Diclofenac 75,diclofenacSodium 75mg / amp
Digoxin 0.25,digoxin 0.25mg / tab
Domid 1,midazolam 1mg / amp
Domid 5,midazolam 5mg / amp
Domid 7.5,midazolam 7.5mg / tab
Donecept 10,donepezil 10mg / c-tab
Donecept 5,donepezil 5mg / c-tab
Dopramol 300,paraCetamol 300mg / amp
DopramolFort 600,paraCetamol 600mg / amp
"Doprane 1,000",paraCetamol 1000mg / tab
"Doprane 1,000",paraCetamol 1000mg / tab
Doprane 125,paraCetamol 125mg / supp
Doprane 160,paraCetamol 125mg / supp
Doprane 250,paraCetamol 250mg / supp
Doprane 500,paraCetamol 500mg / tab
Doprane 500,paraCetamol 500mg / tab
Doprane 500,paraCetamol 500mg / tab
Doprane 60,paraCetamol 60mg / supp
DopraneC,paraCetamol 330mg+vitaminC 200mg / efferv-tab
DopraneExtra,caffeine 50mg+paraCetamol 500mg / c-tab
DopraneExtra,caffeine 50mg+paraCetamol 500mg / c-tab
DopraneExtra,caffeine 50mg+paraCetamol 500mg / c-tab
DopraneExtra,caffeine 50mg+paraCetamol 500mg / c-tab
DopraneExtra,caffeine 50mg+paraCetamol 500mg / c-tab
DopraneF,pamabrom 25mg+paraCetamol 500mg / c-tab
DopraneFlu,dextroMethorphan 10mg+guaifenesin 100mg+paraCetamol 250mg+pseudoEphedrine 30mg / cap
DopraneJoints 665,paraCetamol 665mg / c-tab
Dorzamide 2%,dorzolamide 20mg / ml
Ebestral 10,ebastine 10mg / c-tab
Eprosaric 150,H.C.T.Z. ( HydroChloroThiaZide ) 12.5mg+irbesartan 150mg / tab
Eprosaric 300,H.C.T.Z. ( HydroChloroThiaZide ) 12.5mg+irbesartan 300mg / tab
